Id,Location,Latitude,Longitude,Fatalities
237,Abuja,9.083333,7.533333,0
238,Abuja,9.083333,7.533333,0
239,Abuja,9.083333,7.533333,0
240,Abuja,9.083333,7.533333,0
241,Abuja,9.083333,7.533333,0
242,Abuja,9.083333,7.533333,0
243,Abuja,9.083333,7.533333,0
244,Abuja,9.083333,7.533333,0
245,Abuja,9.083333,7.533333,0
246,Abuja,9.083333,7.533333,0
247,Abuja,9.083333,7.533333,0
248,Abuja,9.083333,7.533333,3
249,Abuja,9.083333,7.533333,6
250,Aburoc,10.13333,32.08333,0
251,Aburoc,10.13333,32.08333,3
252,Aburoc,10.13333328,32.0833333,0
253,Aburoc,10.13333328,32.0833333,0
254,Aburoc,10.13333328,32.0833333,0
255,Abyei,9.595247,28.434934,0
256,Abyei,9.595247,28.434934,0
257,Abyei,9.595247,28.434934,1
258,Abyei,9.595247,28.434934,1
259,Abyei,9.595247,28.434934,1
260,Abyei,9.595247,28.434934,1
261,Abyei,9.595247,28.434934,6
262,Abyei,9.595247,28.434934,8
263,Abyei,9.59525,28.43493,0
264,Abyei,9.59525,28.43493,0
265,Abyei,9.59525,28.43493,0
266,Abyei,9.59525,28.43493,0
267,Abyei,9.59525,28.43493,1
268,Abyei,9.59525,28.43493,1
269,Abyei,9.59525,28.43493,1
270,Abyei,9.59525,28.43493,1
271,Abyei,9.59525,28.43493,2
272,Abyei,9.59525,28.43493,3
273,Accra,5.55602,-0.1969,0
274,Accra,5.55602,-0.1969,0
275,Accra,5.55602,-0.1969,0
276,Accra,5.55602,-0.1969,0
277,Accra,5.55602,-0.1969,0
278,Accra,5.55602,-0.1969,0
279,Accra,5.55602,-0.1969,0
280,Accra,5.55602,-0.1969,0
281,Accra,5.55602,-0.1969,0
282,Accra,5.55602,-0.1969,0
283,Accra,5.55602,-0.1969,0
284,Accra,5.55602,-0.1969,0
285,Accra,5.55602,-0.1969,0
286,Accra,5.55602,-0.1969,0
287,Accra,5.55602,-0.1969,1
288,Accra,5.55602,-0.1969,2
289,Aconibe,1.29648,10.94436,0
290,Acornhoek,-24.599953,31.084724,0
291,Actonville,-26.21442,28.29477,0
292,Ad Dafniyah,32.41423,14.79335,0
293,Ad Dali,12.8655,33.4128,0
294,Ad Dukhaylah,31.128924,29.824585,0
295,Ad Dukhaylah,31.128924,29.824585,0
296,Ad-Sendemen,18.72528,1.47694,0
297,Ada,5.7833,0.6333,0
298,Ada,5.7833,0.6333,0
299,Adaba,7,39.4,0
300,Adadama,5.9251,8.0863,3
301,Adakplame,7.45394,2.54728,4
302,Adale,2.75,46.316,3
303,Adani,6.734945,7.015705,0
304,Adarr,13.55305,22.419322,0
305,Addis Ababa,9.03333,38.7,0
306,Addis Ababa,9.03333,38.7,0
307,Addis Ababa,9.03333,38.7,0
308,Addis Ababa,9.03333,38.7,0
309,Addis Ababa,9.03333,38.7,0
310,Addis Ababa,9.03333,38.7,0
311,Addis Ababa,9.03333,38.7,0
312,Addis Ababa,9.03333,38.7,0
313,Addis Ababa,9.03333,38.7,0
314,Addis Ababa,9.03333,38.7,0
315,Addis Ababa,9.03333,38.7,0
316,Addis Ababa,9.03333,38.7,0
317,Addis Ababa,9.03333,38.7,0
318,Addis Ababa,9.03333,38.7,0
319,Addis Ababa,9.03333,38.7,0
320,Addis Ababa,9.03333,38.7,0
321,Addis Ababa,9.03333,38.7,0
322,Addis Ababa,9.03333,38.7,0
323,Addis Ababa,9.03333,38.7,0
324,Addis Ababa,9.03333,38.7,0
325,Addis Ababa,9.03333,38.7,0
326,Addis Ababa,9.03333,38.7,1
327,Addis Ababa,9.03333,38.7,3
328,Addis Zemen,12.11667,37.78333,0
329,Addis Zemen,12.11667,37.78333,1
330,Addis Zemen,12.11667,37.78333,1
331,Addis Zemen,12.11667,37.78333,2
332,Addis Zemen,12.11667,37.78333,3
333,Addis Zemen,12.11667,37.78333,13
334,Adeiso,5.79551,-0.48752,0
335,Adekar,36.6917,4.675,0
336,Adekar,36.6917,4.675,0
337,Adenta,5.71417,-0.15418,0
338,Adhicadeeye,8.671488,47.158623,1
339,Adhicadeeye,8.671488,47.158623,1
340,Adhicadeeye,8.671488,47.158623,1
341,Adiake,5.28634,-3.30403,0
342,Adiake,5.28634,-3.30403,0
343,Adikpo,6.887886,9.235472,3
344,Adikpo,6.887886,9.235472,5
345,Adikpo,6.887886,9.235472,5
346,Adikpo,6.887886,9.235472,10
347,Adilla,11.33207,26.99384,0
348,Adilla,11.33207,26.99384,1
349,Adina,6.03797,1.07505,1
350,Adjumani,3.36139,31.80972,3
